DATE,A,B,C,E,E2,CumuleA,CumuleB,CumuleC,CumuleE
2020-12-28,339.0,0.0,0.0,0.0,,339.0,0.0,0.0,0.0
2020-12-29,378.0,11.0,10.0,0.0,,368.0,1.0,10.0,0.0
2020-12-30,907.0,21.0,9.0,0.0,,888.0,2.0,19.0,0.0
2020-12-31,955.0,21.0,0.0,0.0,,936.0,2.0,19.0,0.0
2021-01-01,972.0,21.0,0.0,0.0,,953.0,2.0,19.0,0.0
2021-01-02,996.0,34.0,13.0,0.0,,964.0,2.0,32.0,0.0
2021-01-03,1030.0,34.0,0.0,0.0,,998.0,2.0,32.0,0.0
2021-01-04,1098.0,50.0,15.0,0.0,,1051.0,3.0,47.0,0.0
2021-01-05,2885.0,79.0,26.0,0.0,,2812.0,6.0,73.0,0.0
2021-01-06,6909.0,108.0,28.0,0.0,,6808.0,7.0,101.0,0.0
2021-01-07,15411.0,129.0,14.0,0.0,,15296.0,14.0,115.0,0.0
2021-01-08,24842.0,182.0,45.0,0.0,,24682.0,22.0,160.0,0.0
2021-01-09,28136.0,201.0,16.0,0.0,,27960.0,25.0,176.0,0.0
2021-01-10,28627.0,203.0,0.0,0.0,,28451.0,27.0,176.0,0.0
2021-01-11,34356.0,223.0,9.0,0.0,,34171.0,38.0,185.0,0.0
2021-01-12,50440.0,255.0,21.0,0.0,,50234.0,49.0,206.0,0.0
2021-01-13,72269.0,393.0,17.0,0.0,,72046.0,170.0,223.0,0.0
2021-01-14,95811.0,424.0,11.0,0.0,,95577.0,190.0,234.0,0.0
2021-01-15,119503.0,453.0,20.0,0.0,,119249.0,199.0,254.0,0.0
2021-01-16,124741.0,467.0,10.0,0.0,,124477.0,203.0,264.0,0.0
2021-01-17,128004.0,493.0,0.0,0.0,,127740.0,229.0,264.0,0.0
2021-01-18,139129.0,655.0,13.0,0.0,,138852.0,378.0,277.0,0.0
2021-01-19,158329.0,900.0,37.0,0.0,,158015.0,586.0,314.0,0.0
2021-01-20,179534.0,1402.0,28.0,0.0,,179192.0,1060.0,342.0,0.0
2021-01-21,209726.0,1467.0,24.0,0.0,,209360.0,1101.0,366.0,0.0
2021-01-22,239675.0,1553.0,38.0,0.0,,239271.0,1149.0,404.0,0.0
2021-01-23,248069.0,1577.0,11.0,0.0,,247654.0,1162.0,415.0,0.0
2021-01-24,249966.0,1611.0,0.0,0.0,,249551.0,1196.0,415.0,0.0
2021-01-25,261303.0,1663.0,23.0,0.0,,260865.0,1225.0,438.0,0.0
2021-01-26,272430.0,3462.0,21.0,0.0,,271971.0,3003.0,459.0,0.0
2021-01-27,285702.0,6964.0,39.0,0.0,,285204.0,6466.0,498.0,0.0
2021-01-28,301695.0,14942.0,31.0,0.0,,301166.0,14413.0,529.0,0.0
2021-01-29,314192.0,24194.0,34.0,0.0,,313629.0,23631.0,563.0,0.0
2021-01-30,315815.0,27134.0,12.0,0.0,,315240.0,26559.0,575.0,0.0
2021-01-31,316463.0,27489.0,0.0,0.0,,315888.0,26914.0,575.0,0.0
2021-02-01,320493.0,31498.0,18.0,0.0,,319900.0,30905.0,593.0,0.0
2021-02-02,330810.0,46031.0,29.0,0.0,,330188.0,45409.0,622.0,0.0
2021-02-03,341088.0,66905.0,23.0,0.0,,340443.0,66260.0,645.0,0.0
2021-02-04,351143.0,91445.0,23.0,0.0,,350475.0,90777.0,668.0,0.0
2021-02-05,359297.0,114591.0,38.0,0.0,,358591.0,113885.0,706.0,0.0
2021-02-06,360543.0,119953.0,14.0,0.0,,359823.0,119233.0,720.0,0.0
2021-02-07,360884.0,123052.0,1.0,0.0,,360163.0,122331.0,721.0,0.0
2021-02-08,363286.0,130991.0,20.0,0.0,,362545.0,130250.0,741.0,0.0
2021-02-09,371559.0,150873.0,23.0,0.0,,370795.0,150109.0,764.0,0.0
2021-02-10,378186.0,170117.0,29.0,0.0,,377393.0,169324.0,793.0,0.0
2021-02-11,386569.0,198501.0,16.0,0.0,,385760.0,197692.0,809.0,0.0
2021-02-12,393428.0,226681.0,39.0,0.0,,392580.0,225833.0,848.0,0.0
2021-02-13,394076.0,234769.0,16.0,0.0,,393212.0,233905.0,864.0,0.0
2021-02-14,394218.0,236649.0,2.0,0.0,,393352.0,235783.0,866.0,0.0
2021-02-15,396413.0,248379.0,19.0,0.0,,395528.0,247494.0,885.0,0.0
2021-02-16,400906.0,259009.0,17.0,0.0,,400004.0,258107.0,902.0,0.0
2021-02-17,408256.0,271858.0,20.0,0.0,,407334.0,270936.0,922.0,0.0
2021-02-18,418987.0,289208.0,7.0,0.0,,418058.0,288279.0,929.0,0.0
2021-02-19,437117.0,302535.0,23.0,0.0,,436165.0,301583.0,952.0,0.0
2021-02-20,441613.0,304137.0,14.0,0.0,,440647.0,303171.0,966.0,0.0
2021-02-21,443579.0,304442.0,1.0,0.0,,442612.0,303475.0,967.0,0.0
2021-02-22,453510.0,307455.0,4.0,0.0,,452539.0,306484.0,971.0,0.0
2021-02-23,465607.0,315791.0,16.0,0.0,,464620.0,314804.0,987.0,0.0
2021-02-24,480621.0,324260.0,19.0,0.0,,479615.0,323254.0,1006.0,0.0
2021-02-25,503524.0,333597.0,9.0,0.0,,502509.0,332582.0,1015.0,0.0
2021-02-26,528898.0,340650.0,31.0,0.0,,527852.0,339604.0,1046.0,0.0
2021-02-27,532594.0,341517.0,15.0,0.0,,531533.0,340456.0,1061.0,0.0
2021-02-28,533226.0,341796.0,0.0,0.0,,532165.0,340735.0,1061.0,0.0
2021-03-01,544264.0,344616.0,12.0,0.0,,543191.0,343543.0,1073.0,0.0
2021-03-02,561332.0,351605.0,19.0,0.0,,560240.0,350513.0,1092.0,0.0
2021-03-03,585671.0,357885.0,24.0,0.0,,584555.0,356769.0,1116.0,0.0
2021-03-04,627022.0,366895.0,15.0,0.0,,625891.0,365764.0,1131.0,0.0
2021-03-05,665508.0,373809.0,17.0,0.0,,664360.0,372661.0,1148.0,0.0
2021-03-06,673303.0,374510.0,20.0,0.0,,672135.0,373342.0,1168.0,0.0
2021-03-07,674689.0,374719.0,0.0,0.0,,673521.0,373551.0,1168.0,0.0
2021-03-08,690269.0,376798.0,14.0,0.0,,689087.0,375616.0,1182.0,0.0
2021-03-09,712021.0,384379.0,22.0,0.0,,710817.0,383175.0,1204.0,0.0
